"","drug_name","AA_indication","url","AA_date","TA_date","type"
"12","Calquence (acalabrutinib)","Treatment of adult patients with mantle cell lymphoma (MCL) who have received at least one prior therapy","https://www.fda.gov/drugs/resources-information-approved-drugs/fda-grants-accelerated-approval-acalabrutinib-mantle-cell-lymphoma","10/31/2017","1/16/2025","AA_VerifiedBenefit"
"13","Retevmo (selpercatinib)","Adult and pediatric patients 12 years of age and older with advanced or metastatic RET-mutant medullary thyroid cancer (MTC) who require systemic therapy *","https://www.fda.gov/drugs/resources-information-approved-drugs/fda-approves-selpercatinib-lung-and-thyroid-cancers-ret-gene-mutations-or-fusions","5/8/2020","9/27/2024","AA_VerifiedBenefit"
"14","Retevmo (selpercatinib)","Adult and pediatric patients 12 years of age and older with advanced or metastatic RET fusion-positive thyroid cancer who require systemic therapy and who are radioactive iodine-refractory (if radioactive iodine is appropriate) *","https://www.fda.gov/drugs/resources-information-approved-drugs/fda-approves-selpercatinib-lung-and-thyroid-cancers-ret-gene-mutations-or-fusions","5/8/2020","6/12/2024","AA_VerifiedBenefit"
"15","Tivdak (tisotumab vedotin-tftv)","Treatment of adult patients with recurrent or metastatic cervical cancer with disease progression on or after chemotherapy","https://www.fda.gov/drugs/resources-information-approved-drugs/fda-grants-accelerated-approval-tisotumab-vedotin-tftv-recurrent-or-metastatic-cervical-cancer","9/20/2021","4/29/2024","AA_VerifiedBenefit"
"16","Elahere (mirvetuximab soravtansine-gynx)","Adult patients with folate receptor-alpha (FRα) positive, platinum-resistant epithelial ovarian, fallopian tube, or primary peritoneal cancer, who have received one to three prior systemic treatment regimens. Select patients for therapy based on an FDA-approved test","https://www.fda.gov/drugs/resources-information-approved-drugs/fda-grants-accelerated-approval-mirvetuximab-soravtansine-gynx-fra-positive-platinum-resistant","11/14/2022","3/22/2024","AA_VerifiedBenefit"
"17","Rybrevant (amivantamab-vmjw)","Treatment of adult patients with locally advanced or metastatic non small cell lung cancer (NSCLC) with epidermal growth factor receptor (EGFR) exon 20 insertion mutations, as detected by an FDA approved test, whose disease has progressed on or after platinum based chemotherapy","https://www.fda.gov/drugs/resources-information-approved-drugs/fda-grants-accelerated-approval-amivantamab-vmjw-metastatic-non-small-cell-lung-cancer","5/21/2021","3/1/2024","AA_VerifiedBenefit"
"18","Tepmetko (tepotinib)","Treatment of adult patients with metastatic non-small cell lung cancer (NSCLC) harboring mesenchymal-epithelial transition (MET) exon 14 skipping alterations.","https://www.fda.gov/drugs/resources-information-approved-drugs/fda-grants-accelerated-approval-tepotinib-metastatic-non-small-cell-lung-cancer","2/3/2021","2/15/2024","AA_VerifiedBenefit"
"19","Keytruda (pembrolizumab)","Treatment of patients with hepatocellular carcinoma (HCC) who have been previously treated with sorafenib","https://www.fda.gov/drugs/fda-grants-accelerated-approval-pembrolizumab-hepatocellular-carcinoma","11/9/2018","1/25/2024","AA_VerifiedBenefit"
"20","Balversa (erdafitinib)","Treatment of adult patients with locally advanced or metastatic urothelial carcinoma (mUC), that has:

susceptible FGFR3 or FGFR2 genetic alterations, and
progressed during or following at least one line of prior platinum-containing chemotherapy, including within 12 months of neoadjuvant or adjuvant platinum-containing chemotherapy. Select patients for therapy based on an FDA-approved companion diagnostic for BALVERSA.","https://www.fda.gov/drugs/resources-information-approved-drugs/fda-grants-accelerated-approval-erdafitinib-metastatic-urothelial-carcinoma","4/12/2019","1/19/2024","AA_VerifiedBenefit"
"21","Padcev (enfortumab vedotin-efjv)","In combination with pembrolizumab for the treatment of adult patients with locally advanced or metastatic urothelial cancer who are not eligible for cisplatin-containing chemotherapy","https://www.fda.gov/drugs/resources-information-approved-drugs/fda-grants-accelerated-approval-enfortumab-vedotin-ejfv-pembrolizumab-locally-advanced-or-metastatic","4/3/2023","12/15/2023","AA_VerifiedBenefit"
"22","Keytruda (pembrolizumab)","In combination with enfortumab vedotin-ejfv for the treatment of adult patients with locally advanced or metastatic urothelial cancer who are not eligible for cisplatin-containing chemotherapy","https://www.fda.gov/drugs/resources-information-approved-drugs/fda-grants-accelerated-approval-enfortumab-vedotin-ejfv-pembrolizumab-locally-advanced-or-metastatic","4/3/2023","12/15/2023","AA_VerifiedBenefit"
