"","drug_name","AA_indication","url","AA_date","TA_date","type"
"41","Xpovio (selinexor)","In combination with dexamethasone for adults with relapsed/refractory multiple myeloma after at least 4 prior therapies and refractory to at least 2 proteasome inhibitors, 2 immunomodulatory agents, and an anti-CD38 monoclonal antibody","https://www.fda.gov/drugs/resources-information-approved-drugs/fda-grants-accelerated-approval-selinexor-multiple-myeloma","7/3/2019","12/18/2020","AA_VerifiedBenefit"
"42","Venclexta (venetoclax)","In combination with azacitidine or decitabine or low-dose cytarabine for newly-diagnosed AML in adults 75 years or older, or who have comorbidities that preclude use of intensive induction chemotherapy","https://www.fda.gov/drugs/fda-approves-venetoclax-combination-aml-adults","11/21/2018","10/16/2020","AA_VerifiedBenefit"
"43","Lorbrena (lorlatinib)","ALK-positive metastatic NSCLC that has progressed on:
• Crizotinib and at least one other ALK inhibitor for metastatic disease; or
• Alectinib as the first ALK inhibitor therapy for metastatic disease; or
• Ceritinib as the first ALK inhibitor therapy for metastatic disease","https://www.fda.gov/drugs/fda-approves-lorlatinib-second-or-third-line-treatment-alk-positive-metastatic-nsclc","11/2/2018","3/3/2021","AA_VerifiedBenefit"
"44","Keytruda (pembrolizumab)","Adult and pediatric patients with refractory primary mediastinal large B-cell lymphoma, or who have relapsed after 2 or more prior lines of therapy","https://www.fda.gov/drugs/resources-information-approved-drugs/fda-approves-pembrolizumab-treatment-relapsed-or-refractory-pmbcl","6/13/2018","10/14/2020","AA_VerifiedBenefit"
"45","Keytruda (pembrolizumab)","Treatment of patients with recurrent or metastatic cervical cancer with disease progression on or after chemotherapy whose tumors express PD-L1 (CPS >/=1) as determined by an FDA approved test","https://www.fda.gov/drugs/resources-information-approved-drugs/fda-approves-pembrolizumab-advanced-cervical-cancer-disease-progression-during-or-after-chemotherapy","6/12/2018","10/13/2021","AA_VerifiedBenefit"
"46","Alimta (pemetrexed disodium)","In combination with pembrolizumab and carboplatin for first-line treatment of metastatic non-squamous NSCLC","https://www.fda.gov/drugs/resources-information-approved-drugs/fda-grants-accelerated-approval-bosutinib-treatment-newly-diagnosed-ph-cml","6/4/2018","1/30/2019","AA_VerifiedBenefit"
"47","Bosulif (bosutinib)","Adults with newly diagnosed chronic phase Philadelphia chromosome positive CML","https://www.fda.gov/drugs/resources-information-approved-drugs/fda-grants-accelerated-approval-bosutinib-treatment-newly-diagnosed-ph-cml","12/19/2017","5/14/2021","AA_VerifiedBenefit"
"48","Keytruda (pembrolizumab)","Locally advanced or metastatic urothelial carcinoma ineligible for cisplatin-containing chemotherapy 1","https://www.fda.gov/drugs/resources-information-approved-drugs/pembrolizumab-keytruda-advanced-or-metastatic-urothelial-carcinoma","5/18/2017","8/31/2021","AA_VerifiedBenefit"
"49","Keytruda (pembrolizumab)","In combination with pemetrexed and carboplatin for first-line treatment of metastatic non-squamous NSCLC","https://www.fda.gov/drugs/resources-information-approved-drugs/pembrolizumab-keytruda-5-10-2017","5/10/2017","8/20/2018","AA_VerifiedBenefit"
"50","Bavencio (avelumab)","Locally advanced or metastatic urothelial carcinoma following diease progression on platinum-containing chemotherapy or disease progression within 12 months of neoadjuvant or adjuvant treatment with platinum-containing chemotherapy","https://www.fda.gov/drugs/resources-information-approved-drugs/fda-grants-accelerated-approval-avelumab-urothelial-carcinoma","5/9/2017","6/30/2020","AA_VerifiedBenefit"
"51","Alunbrig (brigatinib)","Patients with ALK-positive metastatic NSCLC that have progressed or are intolerant to crizotinib",NA,"4/28/2017","5/22/2020","AA_VerifiedBenefit"
"52","Keytruda (pembrolizumab)","Adult and pediatric patients with refractory classical Hodgkin Lymphoma or who have relapsed after 3 or more prior lines of therapy",NA,"3/14/2017","10/14/2020","AA_VerifiedBenefit"
"53","Opdivo (nivolumab)","Locally advanced or metastatic urothelial carcinoma that: • progressed during or following platinum-containing chemotherapy • progressed within 12 months of neoadjuvant or adjuvant platinum-containing chemotherapy",NA,"2/2/2017","8/19/2021","AA_VerifiedBenefit"
"54","Rubraca (rucaparib)","Deleterious BRCA mutation (germline and/or somatic) associated advanced ovarian cancer treated with 2 or more chemotherapies 2","https://www.fda.gov/drugs/resources-information-approved-drugs/rucaparib","12/19/2016","4/6/2018","AA_VerifiedBenefit"
"55","Keytruda (pembrolizumab)","Recurrent or metastatic head and neck squamous cell carcinoma that progressed on or after platinum-containing chemotherapy","https://www.fda.gov/drugs/resources-information-approved-drugs/pembrolizumab-keytruda","8/5/2016","6/10/2019","AA_VerifiedBenefit"
"56","Venclexta (venetoclax)","Chronic lymphocytic leukemia with 17P deletion as detected by an FDA-approved test, after at least one prior therapy","https://www.fda.gov/drugs/resources-information-approved-drugs/venetoclax-venclexta-tablets","4/11/2016","6/8/2018","AA_VerifiedBenefit"
"57","Opdivo (nivolumab)","1) In combination with ipilimumab for unresectable or metastatic melanoma to remove the restriction for treatment of only patients with BRAF wild-type melanoma; 2) As a single agent for BRAF V600 mutation positive unresectable or metastatic melanoma to remove the restriction that such patients should have disease progression following ipilimumab and a BRAF inhibitor",NA,"1/23/2016","3/7/2019","AA_VerifiedBenefit"
"58","Alecensa (alectinib)","ALK-positive metastatic NSCLC that progressed on or is intolerant to crizotinib",NA,"12/11/2015","11/6/2017","AA_VerifiedBenefit"
"59","Darzalex (daratumumab)","Multiple myeloma after at least 3 prior lines of therapy including a proteasome inhibitor and an immunomodulatory agent or double refractory to a proteasome inhibitor and an immunomodulatory agent",NA,"11/16/2015","11/21/2016","AA_VerifiedBenefit"
"60","Tagrisso (osimertinib)","Metastatic EGFR T790M mutation-positive NSCLC, as detected by an FDA-approved test, that progressed on or after EGFR TKI therapy",NA,"11/13/2015","3/30/2017","AA_VerifiedBenefit"
"61","Keytruda (pembrolizumab)","Metastatic PD-L1 positive NSCLC, as determined by an FDA-approved test, with progression on or after platinum-containing chemotherapy",NA,"10/2/2015","10/24/2016","AA_VerifiedBenefit"
"62","Opdivo (nivolumab)","In combination with ipilimumab for BRAF V600 wild-type unresectable or metastatic melanoma",NA,"9/30/2015","3/7/2019","AA_VerifiedBenefit"
"63","Ibrance (palbociclib)","In combination with letrozole for postmenopausal women with ER-positive, HER2-negative advanced breast cancer as initial endocrine-based therapy for metastatic disease",NA,"2/3/2015","3/31/2017","AA_VerifiedBenefit"
"64","Opdivo (nivolumab)","Unresectable or metastatic melanoma and progression following ipilimumab and, if BRAF V600 mutation positive, a BRAF inhibitor",NA,"12/22/2014","3/7/2019","AA_VerifiedBenefit"
"65","Lynparza (olaparib)","Deleterious or suspected deleterious germline BRCA-mutated advanced ovarian cancer after treatment with 3 or more lines of chemotherapy 2",NA,"12/19/2014","8/17/2017","AA_VerifiedBenefit"
"66","Blincyto (blinatumomab)","Philadelphia chromosome negative relapsed or refractory B-cell precursor acute lymphoblastic leukemia",NA,"12/3/2014","7/11/2017","AA_VerifiedBenefit"
"67","Keytruda (pembrolizumab)","Unresectable or metastatic melanoma and disease progression following ipilimumab and, if BRAF V600 mutation positive, a BRAF inhibitor",NA,"9/4/2014","12/18/2015","AA_VerifiedBenefit"
"68","Zykadia (ceritinib)","ALK-positive metastatic NSCLC that progressed on or is intolerant to crizotinib",NA,"4/29/2014","5/26/2017","AA_VerifiedBenefit"
"69","Imbruvica (ibrutinib)","Chronic lymphocytic leukemia after at least one prior therapy",NA,"2/12/2014","7/28/2014","AA_VerifiedBenefit"
"70","Tafinlar (dabrafenib)","In combination with trametinib for unresectable or metastatic melanoma with BRAF V600E or V600K mutations, as detected by an FDA-approved test",NA,"1/9/2014","11/20/2015","AA_VerifiedBenefit"
"71","Mekinist (trametinib)","In combination with dabrafenib for unresectable or metastatic melanoma with BRAF V600E or V600K mutations, as detected by an FDA-approved test",NA,"1/8/2014","11/20/2015","AA_VerifiedBenefit"
"72","Perjeta (pertuzumab)","In combination with trastuzumab and docetaxel for neoadjuvant treatment of HER2-positive locally advanced inflammatory or early-stage breast cancer (either greater than 2 cm in diameter or node-positive) as part of a complete treatment regimen for early early breast cancer",NA,"9/30/2013","12/20/2017","AA_VerifiedBenefit"
"73","Pomalyst (pomalidomide)","Multiple myeloma after at least 2 prior therapies including lenalidomide and bortezomib and disease progression on or within 60 days of completion of the last therapy",NA,"2/8/2013","4/23/2015","AA_VerifiedBenefit"
"74","Iclusig (ponatinib)","Adults with chronic phase, accelerated phase, or blast phase chronic myeloid leukemia resistant or intolerant to TKI therapy or or Philadelphia chromosome positive acute lymphoblastic leukemia resistant or intolerant to prior TKI therapy",NA,"12/14/2012","11/28/2016","AA_VerifiedBenefit"
"75","Synribo (omacetaxine mepesuccinate)","Adults with chronic or accelerated phase chronic myeloid leukemia with resistance or intolerance to 2 or more TKIs",NA,"10/26/2012","2/10/2014","AA_VerifiedBenefit"
"76","Kyprolis (carfilzomib)","Multiple myeloma after at least 2 prior therapies including bortezomib and an immunomodulatory agent and disease progression on or within 60 days of completion of the last therapy",NA,"7/20/2012","1/21/2016","AA_VerifiedBenefit"
"77","Afinitor (everolimus)","Adults with renal angiomyolipma and tuberous sclerosis complex not requiring immediate surgery",NA,"4/26/2012","2/18/2016","AA_VerifiedBenefit"
"78","Xalkori (crizotinib)","Locally advanced or metastatic NSCLC that is ALK-positive as detected by an FDA-approved test",NA,"8/26/2011","11/20/2013","AA_VerifiedBenefit"
"79","Adcetris (brentuximab vedotin)","Hodgkin lymphoma after failure of autologous stem cell transplant (ASCT), or after failure of at least 2 multi-agent chemotherapy regimens in patients who are not ASCT candidates",NA,"8/19/2011","8/17/2015","AA_VerifiedBenefit"
"80","Adcetris (brentuximab vedotin)","Systemic anaplastic large cell lymphoma after failure of at least one multi-agent chemotherapy regimen",NA,"8/19/2011","3/20/2018","AA_VerifiedBenefit"
"81","Afinitor (everolimus)","Patients with subependymal giant cell astrocytoma associated with tuberous sclerosis who require therapeutic intervention but are not candidates for curative surgical resection",NA,"10/29/2010","1/29/2016","AA_VerifiedBenefit"
"82","Sprycel (dasatinib)","Newly diagnosed adults with Philadelphia chromosome-positive CML in chronic phase",NA,"10/28/2010","8/12/2015","AA_VerifiedBenefit"
"83","Tasigna (nilotinib)","Newly diagnosed adults with with Philadelphia chromosome-positive CML in chronic phase",NA,"6/17/2010","1/27/2015","AA_VerifiedBenefit"
"84","Tykerb (lapatinib)","In combination with letrozole for post-menopausal women with HR-positive metastatic breast cancer that overexpresses the HER2 receptor for whom hormonal therapy is indicated",NA,"1/29/2010","12/6/2018","AA_VerifiedBenefit"
"85","Arzerra (ofatumumab)","Chronic lymphocytic leukemia refractory to fludarabine and alemtuzumab",NA,"10/26/2009","4/17/2014","AA_VerifiedBenefit"
"86","Avastin (bevacizumab)","Progressive glioblastoma following prior therapy",NA,"5/5/2009","12/5/2017","AA_VerifiedBenefit"
"87","Gleevec (imatinib mesylate)","Adjuvant treatment of adults following complete gross resection of KIT (CD117) positive gastrointestinal stromal tumors (GIST)",NA,"12/19/2008","1/31/2012","AA_VerifiedBenefit"
"88","Alimta (pemetrexed disodium)","Non-squamous NSCLC: 1) as initial treatment with cisplatin; 2) as a single agent after prior chemotherapy",NA,"9/26/2008","7/2/2009","AA_VerifiedBenefit"
"89","Tasigna (nilotinib)","Chronic phase and accelerated phase Philadelphia chromosome positive CML in adults resistant or intolerant to prior therapy that included Gleevec (imatinib)",NA,"10/29/2007","1/14/2011","AA_VerifiedBenefit"
"90","Gleevec (imatinib mesylate)","Newly diagnosed Philadelphia positive CML in pediatric patients",NA,"9/27/2006","4/1/2011","AA_VerifiedBenefit"
"91","Vectibix (panitumumab)","EGFR-expressing metastatic colorectal carcinoma with progression on or following fluoropyrimidine-, oxaliplatin-, and irinotecan-containing chemotherapy regimens",NA,"9/27/2006","5/23/2014","AA_VerifiedBenefit"
"92","Sprycel (dasatinib)","Chronic myeloid leukemia with resistance or intolerance to prior therapy including imatinib",NA,"6/28/2006","5/21/2009","AA_VerifiedBenefit"
"93","Thalomid (thalidomide)","Newly diagnosed multiple myeloma",NA,"5/25/2006","6/19/2014","AA_VerifiedBenefit"
"94","Sutent (sunitinib maleate)","Advanced renal cell carcinoma",NA,"1/26/2006","2/2/2007","AA_VerifiedBenefit"
"95","Femara (letrozole)","Postmenopausal women with HR positive early breast cancer",NA,"12/28/2005","4/30/2010","AA_VerifiedBenefit"
"96","Arranon (nelarabine)","Relapsed/refractory T-cell acute lymphoblastic leukemia and T-cell lymphoblastic leukemia following at least 2 chemotherapy regimens",NA,"10/28/2005","7/31/2019","AA_VerifiedBenefit"
"97","Femara (letrozole)","Extended adjuvant treatment of early breast cancer in postmenopausal women who received 5 years of adjuvant tamoxifen",NA,"10/29/2004","4/30/2010","AA_VerifiedBenefit"
"98","Alimta (pemetrexed disodium)","As a single agent for locally advanced or metastatic NSCLC after prior chemotherapy",NA,"8/19/2004","7/2/2009","AA_VerifiedBenefit"
"99","Erbitux (cetuximab)","In combination with irinotecan for EGFR-expressing metastatic colorectal carcinoma refractory to irinotecan-based chemotherapy",NA,"2/12/2004","7/6/2012","AA_VerifiedBenefit"
"100","Erbitux (cetuximab)","As a single agent for EGFR-expressing metastatic colorectal carcinoma intolerant to irinotecan-based chemotherapy",NA,"2/12/2004","10/2/2007","AA_VerifiedBenefit"
"101","Gleevec (imatinib mesylate)","Pediatric patients with recurrent PH+ chronic phase CML after stem cell transplant or who are resistant to interferon alpha therapy",NA,"5/20/2003","9/27/2006","AA_VerifiedBenefit"
