"","description","url"
"1","Food and Drug Administration approved osimertinib (TAGRISSO, AstraZeneca Pharmaceuticals LP) for adjuvant therapy after tumor resection in patients with non-small cell lung cancer (NSCLC) whose tumors have epidermal growth factor receptor (EGFR) exon 19 deletions or exon 21 L858R mutations, as detected by an FDA-approved test. More information. December 18, 2020","https://wayback.archive-it.org/7993/20201219232235/https%3A//www.fda.gov/drugs/drug-approvals-and-databases/fda-approves-osimertinib-adjuvant-therapy-non-small-cell-lung-cancer-egfr-mutations"
"2","Food and Drug Administration approved the first oral gonadotropin-releasing hormone (GnRH) receptor antagonist, relugolix, (ORGOVYX, Myovant Sciences, Inc.) for adult patients with advanced prostate cancer. More information. December 18, 2020","https://wayback.archive-it.org/7993/20201219232235/https%3A//www.fda.gov/drugs/drug-approvals-and-databases/fda-approves-relugolix-advanced-prostate-cancer"
"3","Food and Drug Administration approved selinexor (XPOVIO, Karyopharm Therapeutics Inc.) in combination with bortezomib and dexamethasone for the treatment of adult patients with multiple myeloma who have received at least one prior therapy. More information. December 18, 2020","https://wayback.archive-it.org/7993/20201219232235/https%3A//www.fda.gov/drugs/drug-approvals-and-databases/fda-approves-selinexor-refractory-or-relapsed-multiple-myeloma"
"4","Food and Drug Administration approved margetuximab-cmkb (MARGENZA, MacroGenics) in combination with chemotherapy, for the treatment of adult patients with metastatic HER2-positive breast cancer who have received two or more prior anti-HER2 regimens, at least one of which was for metastatic disease. More information. December 16, 2020","https://wayback.archive-it.org/7993/20201219232235/https%3A//www.fda.gov/drugs/drug-approvals-and-databases/fda-approves-margetuximab-metastatic-her2-positive-breast-cancer"
"5","Food and Drug Administration approved pralsetinib (GAVRETO, Blueprint Medicines Corporation) for adult and pediatric patients 12 years of age and older with advanced or metastatic RET-mutant medullary thyroid cancer (MTC) who require systemic therapy or RET fusion-positive thyroid cancer who require systemic therapy and who are radioactive iodine-refractory (if radioactive iodine is appropriate). More Information. December 1, 2020","https://wayback.archive-it.org/7993/20201219232235/https%3A//www.fda.gov/drugs/drug-approvals-and-databases/fda-approves-pralsetinib-ret-altered-thyroid-cancers"
"6","Food and Drug Administration approved the Sonalleve MR-HIFU system (Profound Medical Inc.) for the treatment of osteoid osteoma in the extremities. More Information. November 27, 2020","https://wayback.archive-it.org/7993/20201219232235/https%3A//www.fda.gov/drugs/drug-approvals-and-databases/fda-approves-device-treatment-osteoid-osteoma-extremities"
"7","Food and Drug Administration granted accelerated approval to naxitamab (DANYELZA, Y-mAbs Therapeutics, Inc.) in combination with granulocyte-macrophage colony-stimulating factor (GM-CSF) for pediatric patients one year of age and older and adult patients with relapsed or refractory high-risk neuroblastoma in the bone or bone marrow demonstrating a partial response, minor response, or stable disease to prior therapy. More Information. November 25, 2020","https://wayback.archive-it.org/7993/20201219232235/https%3A//www.fda.gov/drugs/drug-approvals-and-databases/fda-grants-accelerated-approval-naxitamab-high-risk-neuroblastoma-bone-or-bone-marrow"
"8","Food and Drug Administration granted accelerated approval to pembrolizumab (KEYTRUDA, Merck & Co.) in combination with chemotherapy for the treatment of patients with locally recurrent unresectable or metastatic triple-negative breast cancer (TNBC) whose tumors express PD-L1 (CPS ≥10) as determined by an FDA approved test. More Information. November 13, 2020","https://wayback.archive-it.org/7993/20201219232235/https%3A//www.fda.gov/drugs/drug-approvals-and-databases/fda-grants-accelerated-approval-pembrolizumab-locally-recurrent-unresectable-or-metastatic-triple"
"9","Food and Drug Administration approved the liquid biopsy next-generation sequencing-based FoundationOne Liquid CDx test (Foundation Medicine, Inc.) as a companion diagnostic device for multiple additional biomarkers detected in cell free-DNA isolated from plasma specimens. More Information. October 26, 2020 and November 6, 2020. ","https://wayback.archive-it.org/7993/20201219232235/https%3A//www.fda.gov/drugs/fda-approves-liquid-biopsy-ngs-companion-diagnostic-test-multiple-cancers-and-biomarkers"
"10","Food and Drug Administration approved the next-generation sequencing (NGS)-based FoundationOne CDx test (Foundation Medicine, Inc.) as a companion diagnostic to identify fusions in neurotrophic receptor tyrosine kinase (NTRK) genes, NTRK1, NTRK2, and NTRK3, in DNA isolated from tumor tissue specimens from patients with solid tumors eligible for treatment with larotrectinib (VITRAKVI, Bayer Healthcare Pharmaceuticals, Inc.). More Information. October 26, 2020","https://wayback.archive-it.org/7993/20201219232235/https%3A//www.fda.gov/drugs/fda-approves-companion-diagnostic-identify-ntrk-fusions-solid-tumors-vitrakvi"
"11","Food and Drug Administration grants regular approval to venetoclax in combination for untreated acute myeloid leukemia. More Information. October 16, 2020","https://wayback.archive-it.org/7993/20201219232235/https%3A//www.fda.gov/drugs/drug-approvals-and-databases/fda-grants-regular-approval-venetoclax-combination-untreated-acute-myeloid-leukemia"
"12","Food and Drug Administration extended the approval of pembrolizumab (KEYTRUDA®, Merck Sharp & Dohme Corp.) for the following indications:
adult patients with relapsed or refractory classical Hodgkin lymphoma (cHL) and
pediatric patients with refractory cHL, or cHL that has relapsed after 2 or more lines of therapy. More Information. October 14, 2020","https://wayback.archive-it.org/7993/20201219232235/https%3A//www.fda.gov/drugs/drug-approvals-and-databases/fda-extends-approval-pembrolizumab-classical-hodgkin-lymphoma"
"13","pediatric patients with refractory cHL, or cHL that has relapsed after 2 or more lines of therapy. More Information. October 14, 2020","https://wayback.archive-it.org/7993/20201219232235/https%3A//www.fda.gov/drugs/drug-approvals-and-databases/fda-extends-approval-pembrolizumab-classical-hodgkin-lymphoma"
"14","Food and Drug Administration approved the combination of nivolumab (OPDIVO, Bristol-Myers Squibb Co.) plus ipilimumab (YERVOY, Bristol-Myers Squibb Co.) as first-line treatment for adult patients with unresectable malignant pleural mesothelioma. More Information. October 2, 2020","https://wayback.archive-it.org/7993/20201219232235/https%3A//www.fda.gov/drugs/drug-approvals-and-databases/fda-approves-nivolumab-and-ipilimumab-unresectable-malignant-pleural-mesothelioma"
"15","Food and Drug Administration alerted health care professionals and oncology clinical investigators about efficacy and potential safety concerns with atezolizumab in combination with paclitaxel for treatment of breast cancer. More Information. September 8, 2020.","https://wayback.archive-it.org/7993/20201219232235/https%3A//www.fda.gov/drugs/resources-information-approved-drugs/fda-issues-alert-about-efficacy-and-potential-safety-concerns-atezolizumab-combination-paclitaxel"
"16","Food and Drug Administration granted accelerated approval to pralsetinib (GAVRETO, Blueprint Medicines Corporation) for adult patients with metastatic RET fusion-positive non-small cell lung cancer (NSCLC) as detected by an FDA approved test. More information. September 4, 2020.","https://wayback.archive-it.org/7993/20201219232235/https%3A//www.fda.gov/drugs/resources-information-approved-drugs/fda-approves-pralsetinib-lung-cancer-ret-gene-fusions"
"17","Food and Drug Administration approved azacitidine tablets (ONUREG, Celgene Corporation) for continued treatment of patients with acute myeloid leukemia who achieved first complete remission (CR) or complete remission with incomplete blood count recovery (CRi) following intensive induction chemotherapy and are not able to complete intensive curative therapy. More Information. September 1, 2020.","https://wayback.archive-it.org/7993/20201219232235/https%3A//www.fda.gov/drugs/resources-information-approved-drugs/fda-approves-onureg-azacitidine-tablets-acute-myeloid-leukemia"
"18","Food and Drug Administration approved the liquid biopsy next-generation sequencing-based FoundationOne Liquid CDx test (Foundation Medicine, Inc.) as a companion diagnostic to identify mutations in BRCA1 and BRCA2 genes in cell free-DNA isolated from plasma specimens from patients with metastatic castration-resistant prostate cancer (mCRPC) eligible for treatment with rucaparib (RUBRACA, Clovis Oncology, Inc.). More Information. August 26, 2020","https://wayback.archive-it.org/7993/20201219232235/https%3A//www.fda.gov/drugs/drug-approvals-and-databases/fda-approves-liquid-biopsy-next-generation-sequencing-companion-diagnostic-test"
"19","On August 20, 2020, the Food and Drug Administration approved carfilzomib (KYPROLIS, Onyx Pharmaceuticals, Inc.) and daratumumab (DARZALEX, Janssen Biotech, Inc.) in combination with dexamethasone for adult patients with relapsed or refractory multiple myeloma who have received one to three lines of therapy. More Information. August 20, 2020","https://wayback.archive-it.org/7993/20201219232235/https%3A//www.fda.gov/drugs/drug-approvals-and-databases/fda-approves-carfilzomib-and-daratumumab-dexamethasone-multiple-myeloma"
"20","Food and Drug Administration approved belantamab mafodotin-blmf (Blenrep, GlaxoSmithKline) for adult patients with relapsed or refractory multiple myeloma who have received at least 4 prior therapies, including an anti-CD38 monoclonal antibody, a proteasome inhibitor, and an immunomodulatory agent. More Information. August 5, 2020","https://wayback.archive-it.org/7993/20201219232235/https%3A//www.fda.gov/drugs/drug-approvals-and-databases/fda-granted-accelerated-approval-belantamab-mafodotin-blmf-multiple-myeloma"
"21","FDA granted accelerated approval to tafasitamab-cxix (MONJUVI, MorphoSys US Inc.), a CD19-directed cytolytic antibody, indicated in combination with lenalidomide for adult patients with relapsed or refractory diffuse large B-cell lymphoma (DLBCL) not otherwise specified, including DLBCL arising from low grade lymphoma, and who are not eligible for autologous stem cell transplant. More Information. July 31, 2020.","https://wayback.archive-it.org/7993/20201219232235/https%3A//www.fda.gov/drugs/drug-approvals-and-databases/fda-grants-accelerated-approval-tafasitamab-cxix-diffuse-large-b-cell-lymphoma"
"22","Food and Drug Administration approved atezolizumab (Tecentriq, Genentech, Inc.) in combination with cobimetinib and vemurafenib for patients with BRAF V600 mutation-positive unresectable or metastatic melanoma. More Information. July 30, 2020","https://wayback.archive-it.org/7993/20201219232235/https%3A//www.fda.gov/drugs/resources-information-approved-drugs/fda-approves-atezolizumab-braf-v600-unresectable-or-metastatic-melanoma"
"23","Food and Drug Administration granted accelerated approval to brexucabtagene autoleucel (TECARTUS, Kite, a Gilead Company), a CD19-directed genetically modified autologous T cell immunotherapy, for the treatment of adult patients with relapsed or refractory mantle cell lymphoma (MCL). More Information. July 24, 2020","https://wayback.archive-it.org/7993/20201219232235/https%3A//www.fda.gov/drugs/fda-approves-brexucabtagene-autoleucel-relapsed-or-refractory-mantle-cell-lymphoma"
