"","description","url"
"17","FDA approved crizotinib capsules (Xalkori, Pfizer, Inc.) for the treatment of patients with metastatic non-small cell lung cancer (NSCLC) whose tumors are ROS1-positive. More Information. March 11, 2016","https://wayback.archive-it.org/7993/20170111064250/http%3A//www.fda.gov/Drugs/InformationOnDrugs/ApprovedDrugs/ucm490391.htm"
"18","FDA approved everolimus (Afinitor , Novartis) for the treatment of adult patients with progressive, well-differentiated non-functional, neuroendocrine tumors (NET) of gastrointestinal (GI) or lung origin with unresectable, locally advanced or metastatic disease. More Information. February 26, 2016","https://wayback.archive-it.org/7993/20170111064250/http%3A//www.fda.gov/Drugs/InformationOnDrugs/ApprovedDrugs/ucm488028.htm"
"19","FDA approved obinutuzumab (Gazyva Injection, Genentech, Inc.) for use in combination with bendamustine followed by obinutuzumab monotherapy for the treatment of patients with follicular lymphoma (FL) who relapsed after, or are refractory to, a rituximab-containing regimen. Obinutuzumab was previously approved for use in combination with chlorambucil for the treatment of patients with previously untreated chronic lymphocytic leukemia. More Information. February 26, 2016","https://wayback.archive-it.org/7993/20170111064250/http%3A//www.fda.gov/Drugs/InformationOnDrugs/ApprovedDrugs/ucm488013.htm"
"20","FDA approved palbociclib (IBRANCE Capsules, Pfizer, Inc.) in combination with fulvestrant for the treatment of women with hormone receptor (HR)-positive, human epidermal growth factor receptor 2 (HER2)-negative advanced or metastatic breast cancer with disease progression following endocrine therapy. More Information. February 19, 2016","https://wayback.archive-it.org/7993/20170111064250/http%3A//www.fda.gov/Drugs/InformationOnDrugs/ApprovedDrugs/ucm487080.htm"
"21","FDA approved eribulin (HALAVEN® injection, Eisai Co., Ltd.) for the treatment of patients with unresectable or metastatic liposarcoma who have received a prior anthracycline-containing regimen. More Information. January 28, 2016","https://wayback.archive-it.org/7993/20170111064250/http%3A//www.fda.gov/Drugs/InformationOnDrugs/ApprovedDrugs/ucm483795.htm"
"22"," FDA approved ofatumumab (Arzerra Injection, Novartis Pharmaceuticals Corporation) for extended treatment of patients who are in complete or partial response after at least two lines of therapy for recurrent or progressive chronic lymphocytic leukemia (CLL). Ofatumumab was previously approved for the treatment of previously untreated patients with CLL for whom fludarabine-based therapy was considered inappropriate and also for patients with CLL refractory to fludarabine and alemtuzumab. More Information. January 19, 2016","https://wayback.archive-it.org/7993/20170111064250/http%3A//www.fda.gov/Drugs/InformationOnDrugs/ApprovedDrugs/ucm482308.htm"
"23","On December 18, 2015, the U. S. Food and Drug Administration (FDA) expanded the label to include the approval of pembrolizumab (Keytruda Injection, Merck Sharp & Dohme Corp.) for the treatment of patients with unresectable or metastatic melanoma. This expansion now includes the initial treatment of patients with unresectable or metastatic melanoma with pembrolizumab. More Information. December 18, 2015","https://wayback.archive-it.org/7993/20170111064250/http%3A//www.fda.gov/Drugs/InformationOnDrugs/ApprovedDrugs/ucm478493.htm"
"24","FDA granted accelerated approval to alectinib (ALECENSA capsules, Hoffmann-La Roche Inc.) for the treatment of patients with anaplastic lymphoma kinase (ALK)-positive metastatic non-small cell lung cancer (NSCLC) who have progressed on or are intolerant to crizotinib. More Information. December 11, 2015","https://wayback.archive-it.org/7993/20170111064250/http%3A//www.fda.gov/Drugs/InformationOnDrugs/ApprovedDrugs/ucm476946.htm"
"25","FDA granted approval to uridine triacetate (VISTOGARD granules, Wellstat Therapeutics Corporation) for the emergency treatment of adult and pediatric patients: 
following a fluorouracil or capecitabine overdose regardless of the presence of symptoms, or
who exhibit early-onset, severe or life-threatening toxicity affecting the cardiac or central nervous system and/or early-onset, unusually severe adverse reactions (e.g., gastrointestinal toxicity and/or neutropenia) within 96 hours following the end of fluorouracil or capecitabine administration. More Information. December 11, 2015","https://wayback.archive-it.org/7993/20170111064250/http%3A//www.fda.gov/Drugs/InformationOnDrugs/ApprovedDrugs/ucm476930.htm"
"26","who exhibit early-onset, severe or life-threatening toxicity affecting the cardiac or central nervous system and/or early-onset, unusually severe adverse reactions (e.g., gastrointestinal toxicity and/or neutropenia) within 96 hours following the end of fluorouracil or capecitabine administration. More Information. December 11, 2015","https://wayback.archive-it.org/7993/20170111064250/http%3A//www.fda.gov/Drugs/InformationOnDrugs/ApprovedDrugs/ucm476930.htm"
"27","FDA approved elotuzumab (EMPLICITI, Bristol-Myers Squibb Company) in combination with lenalidomide and dexamethasone for the treatment of patients with multiple myeloma who have received one to three prior therapies. More Information. November 30, 2015","https://wayback.archive-it.org/7993/20170111064250/http%3A//www.fda.gov/Drugs/InformationOnDrugs/ApprovedDrugs/ucm474719.htm"
"28","FDA granted approval to necitumumab (PORTRAZZA, Eli Lilly and Company) in combination with gemcitabine and cisplatin for first-line treatment of patients with metastatic squamous non-small cell lung cancer (NSCLC). Necitumumab is not indicated for treatment of non-squamous NSCLC. More Information. November 24, 2015","https://wayback.archive-it.org/7993/20170111064250/http%3A//www.fda.gov/Drugs/InformationOnDrugs/ApprovedDrugs/ucm474278.htm"
"29","FDA approved nivolumab (Opdivo Injection, Bristol-Myers Squibb Company) for the treatment of advanced renal cell carcinoma in patients who have received prior anti-angiogenic therapy. More Information. November 23, 2015","https://wayback.archive-it.org/7993/20170111064250/http%3A//www.fda.gov/Drugs/InformationOnDrugs/ApprovedDrugs/ucm474092.htm"
"30","FDA approved trametinib (Mekinist, Novartis Pharmaceuticals Corp.) and dabrafenib (Tafinlar, Novartis Pharmaceuticals Corp.) for use in combination for the treatment of patients with unresectable or metastatic melanoma with BRAF V600E or V600K mutations as detected by an FDA-approved test. More Information. November 20, 2015.","https://wayback.archive-it.org/7993/20170111064250/http%3A//www.fda.gov/Drugs/InformationOnDrugs/ApprovedDrugs/ucm476837.htm"
"31","FDA approved ixazomib (NINLARO, Millennium Pharmaceuticals, Inc., a wholly owned subsidiary of Takeda Pharmaceutical Company Limited) in combination with lenalidomide and dexamethasone for the treatment of patients with multiple myeloma who have received at least one prior therapy. Ixazomib is the first approved oral proteasome inhibitor. More Information. November 20, 2015","https://wayback.archive-it.org/7993/20170111064250/http%3A//www.fda.gov/Drugs/InformationOnDrugs/ApprovedDrugs/ucm473804.htm"
"32","FDA granted accelerated approval to daratumumab injection (DARZALEX, Janssen Biotech, Inc.), administered as a single agent for the treatment of patients with multiple myeloma who have received at least three prior lines of therapy, including a proteasome inhibitor (PI) and an immunomodulatory agent, or who are double-refractory to a PI and an immunomodulatory agent. More Information. November 16, 2015","https://wayback.archive-it.org/7993/20170111064250/http%3A//www.fda.gov/Drugs/InformationOnDrugs/ApprovedDrugs/ucm472904.htm"
"33","FDA granted accelerated approval to osimertinib (TAGRISSO) once daily tablets, AstraZeneca Pharmaceuticals LP, for the treatment of patients with metastatic epidermal growth factor receptor (EGFR) T790M mutation-positive non-small cell lung cancer (NSCLC), as detected by an FDA-approved test, who have progressed on or after EGFR tyrosine kinase inhibitor (TKI) therapy. More Information. November 13, 2015","https://wayback.archive-it.org/7993/20170111064250/http%3A//www.fda.gov/Drugs/InformationOnDrugs/ApprovedDrugs/ucm472565.htm"
"34","FDA approved cobimetinib (COTELLIC Tablets, Genentech, Inc.) for the treatment of patients with unresectable or metastatic melanoma with BRAF V600E or V600K mutation, in combination with vemurafenib. Cobimetinib is not indicated for treatment of patients with wild-type BRAF melanoma. More Information. November 10, 2015","https://wayback.archive-it.org/7993/20170111064250/http%3A//www.fda.gov/Drugs/InformationOnDrugs/ApprovedDrugs/ucm472193.htm"
"35","FDA approved ipilimumab (Yervoy Injection), for the additional indication of adjuvant treatment of patients with cutaneous melanoma with pathologic involvement of regional lymph nodes of more than 1 mm who have undergone complete resection, including total lymphadenectomy. More Information. October 28, 2015","https://wayback.archive-it.org/7993/20170111064250/http%3A//www.fda.gov/Drugs/InformationOnDrugs/ApprovedDrugs/ucm470061.htm"
"36","FDA approved talimogene laherparepvec (IMLYGIC , Amgen, Inc.), a genetically-modified oncolytic viral therapy indicated for the local treatment of unresectable cutaneous, subcutaneous, and nodal lesions in patients with melanoma recurrent after initial surgery. More Information. October 27, 2015","https://wayback.archive-it.org/7993/20170111064250/http%3A//www.fda.gov/Drugs/InformationOnDrugs/ApprovedDrugs/ucm476925.htm"
"37","FDA approved trabectedin (Yondelis Injection, Janssen) for the treatment of patients with unresectable or metastatic liposarcoma or leiomyosarcoma who have received a prior anthracycline-containing regimen. More Information. October 23, 2015 ","https://wayback.archive-it.org/7993/20170111064250/http%3A//www.fda.gov/Drugs/InformationOnDrugs/ApprovedDrugs/ucm468914.htm"
"38","FDA approved irinotecan liposome injection (ONIVYDE, Merrimack Pharmaceuticals, Inc.), administered in combination with fluorouracil (5FU) and leucovorin (LV), for the treatment of patients with metastatic adenocarcinoma of the pancreas whose disease has progressed following gemcitabine-based therapy. More Information. October 22, 2015","https://wayback.archive-it.org/7993/20170111064250/http%3A//www.fda.gov/Drugs/InformationOnDrugs/ApprovedDrugs/ucm468728.htm"
